Year,UniqueCarrier,CarrierName,TotalAircrafts,TotalFlightsPerCraft,TotalFlights,TotalDistance,TotalAirTimePerCraft,DaysFlownPerCraft,AvgAirTimePerDay,AvgFlightsPerDay,TotalAirTime,cancelled,Month
2006,F9,Frontier Airlines Inc.,633,1623.25,89279.00,78505407,228674.53,333.58,682.35,4.84,12577099.00,0,Total
2006,F9,Frontier Airlines Inc.,164,16.40,902.00,769781,0.00,6.84,0.00,2.03,0.00,1,Total
2006,EV,ExpressJet Airlines Inc.,1853,1675.22,266360.00,131732198,166623.82,330.42,502.78,5.06,26493187.00,0,Total
2006,EV,ExpressJet Airlines Inc.,1503,42.66,6783.00,3034927,0.00,24.40,0.00,1.77,0.00,1,Total
2006,DL,Delta Air Lines Inc.,5263,1038.31,498391.00,459160474,157409.81,272.80,541.90,3.51,75556708.00,0,Total
2006,DL,Delta Air Lines Inc.,2718,17.45,7695.00,5154079,0.00,12.73,0.00,1.33,0.00,1,Total
2006,CO,Continental Air Lines Inc.,4026,881.78,307740.00,350234964,161011.92,294.70,537.05,2.87,56193159.00,0,Total
2006,CO,Continental Air Lines Inc.,12,1649.00,1649.00,1447015,0.00,218.00,0.00,8.24,0.00,1,Total
2006,B6,JetBlue Airways,1303,1240.58,155073.00,183697602,230436.20,296.85,768.31,4.15,28804525.00,0,Total
2006,B6,JetBlue Airways,18,94.14,659.00,604394,0.00,13.43,0.00,4.89,0.00,1,Total
2006,AS,Alaska Airlines Inc.,1314,1353.22,156974.00,139851397,194018.97,315.81,610.44,4.30,22506200.00,0,Total
2006,AS,Alaska Airlines Inc.,731,21.50,2430.00,1758920,0.00,13.04,0.00,1.63,0.00,1,Total
2006,AQ,Aloha Airlines Inc.,167,1332.38,34642.00,14583957,96853.69,169.54,549.60,8.02,2518196.00,0,Total
2006,AQ,Aloha Airlines Inc.,66,32.39,745.00,197394,0.00,7.09,0.00,2.41,0.00,1,Total
